id,name,artist,album,popularity,duration_ms,release_date,mood,search_query
7yCF65vpc7sUwPjftI0iFb,Happy Nation,Ace of Base,Happy Nation,74,255413,1992-11-16,Happy,happy
2pW5kNCx133MWWirxegvng,Happy Birthday To You - Classic Version,Happy Birthday Songs,"Happy Birthday To You - Best Playlist of Happy Birthday Songs, Vol. 1",49,33215,2021-02-12,Happy,happy
6n4LpWn6gFvczitm1QMi3R,Happy Birthday To You Ji,Mimi Teddy,Happy Birthday To You Ji,33,164025,2020-09-16,Happy,happy
5H0Yfo3acNXU278LqN47pA,Happy B'Day,D Soldierz,ABCD 2 (Original Motion Picture Soundtrack),37,185133,2018-08-24,Happy,happy
3oh7ZkhxNVDOTo8FDGBtsg,Happy Birthday,Diljit Dosanjh,Disco Singh (Original Motion Picture Soundtrack),38,162312,2014-03-19,Happy,happy
68UJW1jJ3cK0FjWKaMGDBk,Baar Baar Din Ye Aaye-Happy Birthday To You - Jhankar Beats,Mohammed Rafi,Jhankar Beats - Jeetendra,34,203900,2022-11-02,Happy,happy
0cx3DUvLuL7iTJ6aUzAZNx,Happy,All Ok,Happy,52,221960,2020-10-29,Happy,happy
3n6tB0RkaxQkgWtF1LmsU9,Happy New Year,Vidyasagar,Kuruvi (Original Motion Picture Soundtrack),54,243066,2008-05-03,Happy,happy
583K4ns9YqEdw9mWWEeGrH,Happy Diwali,Vishal-Shekhar,Home Delivery,46,276560,2005-10-31,Happy,happy
7FwYs4qSJCJi2Hd6ZV8Q3M,Aashiq Tera,Sohail Sen,Happy Bhag Jayegi (Original Motion Picture Soundtrack),69,294751,2016-04-01,Happy,happy
7LqhdpcXoke9VgHsDj3AoP,"Upbeat Inspirational Song About Life (feat. Greg Cipes, Scott Menville, Khary Payton, Tara Strong & Hynden Walch)",Teen Titans Go!,Teen Titans Go! To The Movies (Original Motion Picture Soundtrack),42,156120,2018-07-20,Happy,upbeat
390WqtJIPHg5IUSrFycnKT,Upbeat and Inspiring Corporate,Morninglightmusic,"Awesome Songs, Vol. 2",35,128000,2017-10-02,Happy,upbeat
2FnmKpYraHvKyKdsy7KDOK,Upbeat Music,Background Music for Videos,Background Music,10,87529,2022-01-30,Happy,upbeat
6b76NXdPNsMRB7Ood09JQc,Dinanath - Upbeat,Sharda Sinha,Chhath Puja Geet,28,175650,2020-11-12,Happy,upbeat
6Ys3extOt6Qs7w5m3NVM0q,Upbeat Study Music,Instrumentals For Studying,Chill Focus Concentration Pop Songs For Studying,17,117849,2024-07-06,Happy,upbeat
7oD4wW96RAo6PtDYbYr4R9,Uplifting Upbeat Energetic Instrumental,Romansenykmusic,Inspirational Collection,34,149142,2020-04-27,Happy,upbeat
5KMj4vhaIhGx6vLKXc4iS8,Energetic Upbeat Pop,Morninglightmusic,"Awesome Songs, Vol. 2",35,135600,2017-10-02,Happy,upbeat
5nDZex75Z6bcIBVzYX9k2c,Energetic Lofi Background Music For Study,Lofi Only,Energetic Lofi Background Music For Study,8,318949,2023-02-01,Happy,upbeat
4ogUtNOFu2NFG3bF4ek8ke,Cheerful Beats,Uplifting Music,Happy BGM Uplifting Feel Good Background Music,10,167284,2025-04-04,Happy,upbeat
6N1gKmPUS90oIctQ1F2ku3,Fast Beat Music,original_soundtrack,Fast Background Music,5,86152,2023-06-26,Happy,upbeat
2BBD54IBeXwbTTsgbeibgI,Cheerful Rain,Daily Calm,Calm Rain,48,180000,2021-06-22,Happy,cheerful
6FW8dKNnAinEVkApvlD84l,Cheerful Serenade,Mark Liu Syamsul,Cheerful Serenade,3,211960,2025-03-18,Happy,cheerful
07XRCGPnHKWg4WcbRS0oOV,Cheerful Serenade,Christian Putra Dewi,Cheerful Serenade,0,239799,2025-01-26,Happy,cheerful
19cd0ZNhIAoCHxwGd2XKAg,Cheerful Serenade,Danang Vincent Pratama,Cheerful Serenade,0,239799,2025-01-27,Happy,cheerful
3hm3btKk5FvkDdaZtCEywI,Cheerful Soul,James Butler,Soft Jazz Cafe,22,136365,2024-02-27,Happy,cheerful
1CF4nY6S4NKDX4nNQIKsvl,Cheerful Strums,Talls,Cheerful Strums,28,146374,2025-07-21,Happy,cheerful
4pNkfIXSHR3lBftOn6mKEM,Cheerful Day,BGM Heaven,bgm that makes bright energy # 01,12,158919,2025-01-14,Happy,cheerful
5SDDK2Gq4Ag9uCzbKiQZt0,Happy,Karthik,Happy,36,220538,2021-01-30,Happy,cheerful
07EduHFSshl9TvpRw1vuBw,Happy,Yuvan Shankar Raja,Happy Be Happy (Original Motion Picture Soundtrack),42,214656,2005,Happy,cheerful
3Xbuo268oQ6ianTDdP0bP7,Joyful,Calmly,Daydreams,67,124000,2024-01-05,Happy,joyful
493QAWu3MMZLVftuFfM2ey,Joy,фрози,Joy,55,97714,2024-05-03,Happy,joyful
4g9fTLg5lxW1D2J1lyi3Tp,Joyful Mood,HD Studio,Joyful Mood,19,110275,2020-10-02,Happy,joyful
1cAJI96rMwAfyETOIsyKOK,"Joyful, Joyful, We Adore Thee",Hymns of Grace,Hymnology Season 3,18,175116,2023-09-15,Happy,joyful
2cB2tFXJsdGsxJVco3aCYd,"Joyful, Joyful We Adore Thee",The Tabernacle Choir at Temple Square,Hymns of Faith II (Legacy Series),28,127653,1996-10-10,Happy,joyful
5mfhZc6AUbfoe6WqV33u4l,chess - slowed,joyful,chess,67,142053,2025-01-14,Happy,joyful
4ZXISN1tznbeQJa4GvRjDp,frog,joyful,frog,64,100588,2025-03-14,Happy,joyful
