id,name,artist,album,popularity,duration_ms,release_date,mood,language,search_query
59k0VPRjNwVg6P9HVHMW2N,Mileya Mileya,Sachin-Jigar,Happy Ending (Original Motion Picture Soundtrack),62,266279,2014-04-01,Happy,English,happy english
60nZcImufyMA1MKQY3dcCH,"Happy - From ""Despicable Me 2""",Pharrell Williams,G I R L,79,233306,2014-03-03,Happy,English,happy english
7l1qvxWjxcKpB9PCtBuTbU,Count on Me,Bruno Mars,Doo-Wops & Hooligans,75,197469,2010-05-11,Happy,English,happy english
50BLjPGDh9DjVp4qwwyG6d,The Happy Dictator (feat. Sparks),Gorillaz,The Happy Dictator (feat. Sparks),71,284775,2025-09-11,Happy,English,happy english
0cx3DUvLuL7iTJ6aUzAZNx,Happy,All Ok,Happy,52,221960,2020-10-29,Happy,English,happy english
3akiFavxhFkXDGKfJzc98X,Hosanna English Happy Love,A.R. Rahman,Hosanna English Happy Love,36,69560,2025-02-26,Happy,English,happy english
07EduHFSshl9TvpRw1vuBw,Happy,Yuvan Shankar Raja,Happy Be Happy (Original Motion Picture Soundtrack),42,214656,2005,Happy,English,happy english
3oalcbjOC14l3K5G7gYzus,Osa Osa,Jassie Gift,Happy,42,227791,2021-01-30,Happy,English,happy english
5KMj4vhaIhGx6vLKXc4iS8,Energetic Upbeat Pop,Morninglightmusic,"Awesome Songs, Vol. 2",35,135600,2017-10-02,Happy,English,upbeat pop
2dMdwAsyBjDb86ZOYvBP8x,Upbeat Pop,fatbunny,Corporator,0,101423,2022-01-31,Happy,English,upbeat pop
0Rl6XttllNjI6WnkjgADym,Upbeat pop,Noufal S,Upbeat pop,0,98742,2022-03-15,Happy,English,upbeat pop
05wIrZSwuaVWhcv5FfqeH0,Walking On Sunshine,Katrina & The Waves,Katrina & The Waves,77,238733,1985,Happy,English,upbeat pop
4HBF3NmTwOf0KOqA6XhLbK,Going To The Upside,Robert Lamond,Upbeat Pop,35,172000,2019-06-18,Happy,English,upbeat pop
4Xg2f4Z0ZTffxz8NOHZe1a,Upbeat Pop Music,Pop Work Music,Chill Pop Work Music Pop Songs For Working Hard,2,108701,2024-09-30,Happy,English,upbeat pop
2y42aEs7Rczw5eMLK9UMeW,I Should Have Stayed at Home,Ryan Mack,I Should Have Stayed at Home,64,163013,2023-04-07,Happy,English,upbeat pop
5nDZex75Z6bcIBVzYX9k2c,Energetic Lofi Background Music For Study,Lofi Only,Energetic Lofi Background Music For Study,8,318949,2023-02-01,Happy,English,upbeat pop
4ogUtNOFu2NFG3bF4ek8ke,Cheerful Beats,Uplifting Music,Happy BGM Uplifting Feel Good Background Music,10,167284,2025-04-04,Happy,English,cheerful songs
2BBD54IBeXwbTTsgbeibgI,Cheerful Rain,Daily Calm,Calm Rain,48,180000,2021-06-22,Happy,English,cheerful songs
0MFFl0EDcdxAL28PS0I3rL,Cheerful Song,Uplifting Music,Music To Uplift Your Mood,1,106036,2024-09-27,Happy,English,cheerful songs
3hm3btKk5FvkDdaZtCEywI,Cheerful Soul,James Butler,Soft Jazz Cafe,22,136365,2024-02-27,Happy,English,cheerful songs
4nljV2AhOKTRN9VKumVtU2,Cheerful Whistle,AShamaluevMusic,Happy Music,13,126864,2018-01-01,Happy,English,cheerful songs
1CF4nY6S4NKDX4nNQIKsvl,Cheerful Strums,Talls,Cheerful Strums,28,146374,2025-07-21,Happy,English,cheerful songs
0NNsnJCdpRSsICQbXZBruL,Chirichu Konchunna,Yuvan Shankar Raja,Happy Be Happy (Original Motion Picture Soundtrack),37,215788,2005,Happy,English,cheerful songs
7DXNsHaJcMNx3XGHVxSzp0,Happy Day,Chakri,Itlu Sharavani Subrahmanyam,25,272169,2001-08-14,Happy,English,cheerful songs
4g9fTLg5lxW1D2J1lyi3Tp,Joyful Mood,HD Studio,Joyful Mood,19,110275,2020-10-02,Happy,English,joyful music
1hviO4rjNMUCiM22eUIPgC,Joyful Music,Uplifting Music,Music To Uplift You To Happiness,3,234146,2024-08-05,Happy,English,joyful music
0zPI7oxSnACtqQHsMvtVCh,Boogie,Zachz Winner,Boogie,51,122827,2025-01-31,Happy,English,joyful music
0em1bwqUgz12LGyvQk0Vbn,Joyful Spirit,Flute Music Academy,Soothing Bamboo Flute Music,5,195754,2023-04-12,Happy,English,joyful music
3Xbuo268oQ6ianTDdP0bP7,Joyful,Calmly,Daydreams,67,124000,2024-01-05,Happy,English,joyful music
4DMtWWbDkhCQrzE1sdlirv,frog (slowed),joyful,frog,46,115346,2025-03-14,Happy,English,joyful music
4JwReuZYVaDOY8jT7BjQp2,chess,joyful,chess,67,116000,2025-01-14,Happy,English,joyful music
